"","title","point","review"
"1","미나리","9","기생충과 다른 잔잔한 물결"
"2","미나리","10","눈물이 적셔지는 영화입니다.."
"3","미나리","4","스티븐연의 한국어 발음은 여전히 교포 티를 벗지 못했으며 한예리는 왜 덩달아 연기가 어색해졌는지...? 그 누구의 연기보다 막내 아들 데이빗의 연기가 가장 인상 깊었다.평생 한국에서 나고 자란 사람들에게는 그렇게 큰 감동과 울림을 전달하지는 못 할듯. 이로써 <미나리>는 철저한 미국 영화임이 밝혀졌다."
"4","미나리","9","한번 보고 생각나서 다음날 바로 다시 한번 본 영화. 한예리 연기가 와 닿던데..."
"5","세자매","10","말이 필요없는 배우들의 연기..다시 한번 엄지 척!"
"6","미나리","10","따뜻한 가족 이야기 윤여정 한예리 아카데미연기상 기원합니다 주제가도 좋아요먹먹하게 가슴으로 안아주는 할머니의  따뜻한사랑"
"7","극장판 귀멸의 칼날: 무한열차편","10","유포터블 애니는 진리다"
"8","극장판 귀멸의 칼날: 무한열차편","9","마지막이 정말 재밌었어요 그 앞까지는 그닥!"
"9","최미역행","1","충격과 공포였읍니다 홍콩독립 만세"
"10","퍼펙트 케어","2","이 영화를 보고 잘 만들었다고 질질 짜는 애들은 눈과 귀와 머리가 터져버린애들일 것이다. 이 영화는 공감이 1도 안되는 여자와 그 여자가 벌이는 범죄극을 그렸을 뿐 아무것도 없다."
"11","세자매","10","처음 써보는 감상평입니다배우들의 연기는 단연 최고였고감독님의 섬세한 연출또한 최고인 영화가슴으로부터 감동이 올라오는 영화입니다안보신 분들 꼭 보시기를!! 감독님의 신작이 나오면 꼭 보겠습니다"
"12","목소리의 형태","4","학교폭력에 대해서 가해자가 피해자 입장이 되어 학폭 피해자가 얼마나 큰 상처 속에서 살아가는지 보여주는것 같은데 흠...먼가 연출력이 부족한걸까 스토리가 미흡한걸까...마음적으로 와닿음이 크지 않았던 그냥 무난하게만 본 영화였네요..."
"13","미나리","10","화면이 예쁘고 가족감성이라 좋네요"
"14","미나리","10","물과 미나리, 그 메타포가 좋다"
"15","미나리","8","한국사람이라면 누구든 공감할만한..그러나 쉽게 기억 못하는 추억."
"16","PMC: 더 벙커","1","별 반개도 아까운 영화. 문재인스럽다."
"17","노스바스의 추억","5","눈 덮인 마을에 노년의 인생. 소소한 소재와 복선에 의아한 고평가. 멜라니 그리피스는 왜 굳이 아름다운 상체를 드러내나. 총만 안 들었지 올드한 웨스턴의 향취가 남은 서사."
"18","미나리","10","따뜻해지고 여운이 남는 영화였습니다. 미국땅 어느 작은 숲속에서도 잘 자라는 한국 미나리처럼 우리나라 사람들도 어디서든 잘 살아남길 바라봅니다."
"19","이웃사촌","1","개보다 못한 쓰 레 기 영 화 !!!  구역질나는 좌빨들이 정권잡고 하는 짓 봐라 !!!  미화도 작작해야지 거부감이 생기는 더러운 쓰레기 영화 !!!"
"20","미나리","10","꼭보세요 너무 잘만든 영화같아요"
"21","미나리","10","전체적으로 이야기를 끌어가는게 좋았다"
"22","미나리","6","가족의 소중함을 일깨워주는 영화이다. 어디서든 잘 자라는 미나리를 보면서, 어디서든 잘 생활하고 있을 이민자들에게 응원의 박수를 보낸다."
"23","마이너리티 리포트","10","중딩때 친구 따라서 극장에서 봤다가 너무 감명깊게 본 기억이 있어서 왓챠에 뜬거 다시 봤는데 그 시절때 봤던거보다 2배는 더 잼있다아니 최근에 나온 모든 영화 통틀어 다섯손가락 안에 들어감"
"24","몬스터 헌터","1","총을 수백발 맞아도 움찔도 안하는 몬스터들이 칼로는 숭숭 썰린다.  땅속으로 이동하는게 차량보다 더 빠르던 몬스터는 땅 위로 올라오니 사람 달리는 속도가 된다."
"25","머니백","5","평점이 나쁘지않아 넷플로봤는데..뭔가 계속 아쉽네요.터질듯터질듯하면서 아쉬운느낌이랄까..따로 시간을 내서 볼필요까진없는듯"
"26","미션 파서블","10","오랜만에 아무생각 없이 넘 재밋게 봣어요 ㅠㅠㅠ 웃음포인트도 많고 계속 생각나요 ㅋㅋㅋㅋ"
"27","화려한 휴가","10","아니 ㅅㅂ 한국사 공부를 안했나 ㅁㅊㅅㅋ들이 이걸 폭동이라 하네 정신병자들이 일베충 내눈에 띄지마라 OO다 진짜"
"28","아메리칸 허슬","7","시간 남아서 본 영화... 그냥 괜찮은정도?"
"29","미나리","4","내가 수준이 낮은건지.. 너무 난해하다..배우들 대사 전달도 잘 안됐을뿐더러 보는내내 지루했다.."
"30","친절한 금자씨","9","어릴 때는 몰랐는데 성인이 되고 나이가 들어서 보니 또 다르다 금자는 13년동안 얼마나 복수를 갈망했을까... 복수신은 잔인하다 생각들면서도 통쾌했다 영화속 요즘 활발하게 활동하는 반가운 배우들의 얼굴도 많고 좋았다"
